Basin Id|Segment ID|On Segment|RFA/Tag ID|Station ID|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Comment|Submitting Entity|Collecting Entity|Monitoring Type|Parameter Code|Greater Than/Less Than|Value|MDL|LOQ|Data Qualifier|Verify Flag|Validation Flag|Rating Flag|Nelac Status|Exempt Status
12|1221|Y|BR100727|11930|02/10/2014|12:34|0.3|||||||BR|BR|RT|00094||446|||||||USABLE|
12|1221|Y|BR100727|11930|02/10/2014|12:34|0.3|||||||BR|BR|RT|00300||9.8|||||||USABLE|
12|1221|Y|BR100727|11930|02/10/2014|12:34|0.3|||||||BR|BR|RT|01351||2|||||||USABLE|
12|1221|Y|BR101484|11934|07/10/2014|11:00|0.3|||||||BR|BR|RT|00094||675|||||||USABLE|
12|1221|Y|BR101484|11934|07/10/2014|11:00|0.3|||||||BR|BR|RT|00300||6.2|||||||USABLE|
12|1221|Y|BR103289|18781|06/10/2015|11:10|0.3|||||||BR|BR|RT|00530||256||||Y|||USABLE|
12|1221|Y|BR100382|11934|12/11/2013|10:35|0.3|||||||BR|BR|RT|00620|<|0.04||||Y|||USABLE|
12|1221|Y|BR100382|11934|12/11/2013|10:35|0.3|||||||BR|BR|RT|72053||5|||||||USABLE|
12|1221|Y|BR102867|20905|04/09/2015|11:20|0.3|||||||BR|BR|RT|00625||0.68|||||||USABLE|
12|1221|Y|BR102867|20905|04/09/2015|11:20|0.3|||||||BR|BR|RT|00094||727|||||||USABLE|
12|1221|Y|BR102867|20905|04/09/2015|11:20|0.3|||||||BR|BR|RT|00620|<|0.04||||Y|||USABLE|
12|1221|Y|BR101972|11930|10/14/2014|12:05|0.3|||||||BR|BR|RT|72053||1|||||||USABLE|
12|1221|Y|BR101972|11930|10/14/2014|12:05|0.3|||||||BR|BR|RT|00620||0.29|||||||USABLE|
12|1221|Y|BR102395|11934|01/08/2015|10:35|0.3||||||Ice on top of water|BR|BR|RT|00665|<|0.05||||Y|||USABLE|
12|1221|Y|BR102395|11934|01/08/2015|10:35|0.3||||||Ice on top of water|BR|BR|RT|00400||7.7|||||||USABLE|
12|1221|Y|BR102395|11934|01/08/2015|10:35|0.3||||||Ice on top of water|BR|BR|RT|72053||5|||||||USABLE|
12|1221|Y|BR102395|11934|01/08/2015|10:35|0.3||||||Ice on top of water|BR|BR|RT|00094||1090|||||||USABLE|
12|1221|Y|BR102395|11934|01/08/2015|10:35|0.3||||||Ice on top of water|BR|BR|RT|00620||0.43|||||||USABLE|
12|1221|Y|BR101256|11930|05/20/2014|12:40|0.3|||||||BR|BR|RT|00620|<|0.04||||Y|||USABLE|
12|1221|Y|BR101256|11930|05/20/2014|12:40|0.3|||||||BR|BR|RT|31699||5||||Y|||USABLE|
12|1221|Y|BR103206|11934|06/04/2015|10:45|0.3||||||stream out of banks|BR|BR|RT|00620||0.26|||||||USABLE|
12|1221|Y|BR103206|11934|06/04/2015|10:45|0.3||||||stream out of banks|BR|BR|RT|00530||27|||||||USABLE|
12|1221|Y|BR103075|11934|05/07/2015|10:25|0.3|||||||BR|BR|RT|00010||23.9|||||||USABLE|
12|1221|Y|BR103075|11934|05/07/2015|10:25|0.3|||||||BR|BR|RT|72053||47|||||||USABLE|
12|1221|Y|BR103075|11934|05/07/2015|10:25|0.3|||||||BR|BR|RT|00094||1230|||||||USABLE|
12|1221|Y|BR103075|11934|05/07/2015|10:25|0.3|||||||BR|BR|RT|31699||60|||||||USABLE|
12|1221|Y|BR103075|11934|05/07/2015|10:25|0.3|||||||BR|BR|RT|89835||1|||||||USABLE|
12|1221|Y|BR101657|20905|08/07/2014|11:25|0.3|||||||BR|BR|RT|00094||323|||||||USABLE|
