Basin Id|Segment ID|On Segment|RFA/Tag ID|Station ID|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Comment|Submitting Entity|Collecting Entity|Monitoring Type|Parameter Code|Greater Than/Less Than|Value|MDL|LOQ|Data Qualifier|Verify Flag|Validation Flag|Rating Flag|Nelac Status|Exempt Status
12|1221D|Y|1339261|17542|09/17/2012|11:08|0.3||||||See 11818 7 miles D/S Dry.|WC|FO|RT|00680||5|1||||||USABLE|
12|1221D|Y|1349065|11818|01/15/2013|13:10|0.3|||||||WC|FO|RT|00665||1.15|0.05||||||USABLE|
12|1221D|Y|1349065|11818|01/15/2013|13:10|0.3|||||||WC|FO|RT|00680||16|1||||||USABLE|
12|1221D|Y|1349065|11818|01/15/2013|13:10|0.3|||||||WC|FO|RT|31699||150|0||||||USABLE|
12|1221D|Y|1349066|17542|01/15/2013|13:45|0.3|||||||WC|FO|RT|00530||37|1||||||USABLE|
12|1221D|Y|1432175|17542|12/11/2013|10:32|0.3|||||||WC|FO|RT|31699||190|0||||||USABLE|
12|1221D|Y|1500239|17542|04/14/2015|12:20|0.3|||||||WC|FO|RT|00530||6|1||||||USABLE|
12|1221D|Y|1478388|11818|02/03/2015|10:39|0.3|||||||WC|FO|RT|00665||0.86|0.05||||||USABLE|
12|1221D|Y|1478389|17542|02/03/2015|11:45|0.3|||||||WC|FO|RT|31699||910|0||||||USABLE|
12|1221D|Y|1505759|11818|06/30/2015|10:19|0.3|||||||WC|FO|RT|00680||6.8|||||||USABLE|
12|1221D|Y|1540367|17542|07/06/2016|12:10|0.3|||||||WC|FO|RT|00530||8|1||||||USABLE|
12|1221D|Y|1515211|17542|10/12/2015|12:33|0.3|||||||WC|FO|RT|00625||0.479|0.04||||||USABLE|
12|1221D|Y|1523490|11818|01/06/2016|10:08|0.3|||||||WC|FO|RT|31699||330|1||||||USABLE|
12|1221D|Y|1523490|11818|01/06/2016|10:08|0.3|||||||WC|FO|RT|00610|<|0.02|0.008||||||USABLE|
12|1221D|Y|1597765|11818|07/12/2017|12:00|0.3|||||||WC|FO|RT|00665||0.392|0.05||||||USABLE|
12|1221D|Y|1597766|17542|07/12/2017|13:11|0.3|||||||WC|FO|RT|00530||7|1||||||USABLE|
12|1221D|Y|1597766|17542|07/12/2017|13:11|0.3|||||||WC|FO|RT|00625||1.54|0.1||||||USABLE|
12|1221D|Y|1561953|17542|09/27/2016|11:00|0.3|||||||WC|FO|RT|00625||1.93|0.1||||||USABLE|
